Date,Open,High,Low,Close,Adj Close,Volume
21-04-21,2.53,2.57,2.51,2.54,2.466606,48519500
22-04-21,2.55,2.56,2.52,2.53,2.456895,23901000
23-04-21,2.52,2.54,2.5,2.54,2.466606,20649500
26-04-21,2.54,2.55,2.52,2.55,2.476317,24582300
27-04-21,2.54,2.55,2.51,2.52,2.447184,27657700
28-04-21,2.51,2.53,2.5,2.53,2.456895,27611100
29-04-21,2.52,2.55,2.52,2.52,2.447184,21407300
30-04-21,2.52,2.53,2.5,2.5,2.427762,37541100
03-05-21,2.5,2.51,2.45,2.46,2.388917,39094500
04-05-21,2.47,2.47,2.44,2.45,2.379206,19843600
05-05-21,2.44,2.44,2.4,2.41,2.340362,38771800
06-05-21,2.43,2.46,2.42,2.45,2.379206,29864300
07-05-21,2.45,2.46,2.43,2.45,2.379206,10889100
10-05-21,2.45,2.46,2.43,2.44,2.369495,17872400
11-05-21,2.41,2.42,2.4,2.42,2.350073,33836600
12-05-21,2.4,2.42,2.39,2.41,2.340362,36555200
14-05-21,2.36,2.38,2.31,2.32,2.252963,71641600
17-05-21,2.32,2.38,2.3,2.37,2.301518,34206000
18-05-21,2.37,2.45,2.37,2.41,2.340362,40711400
19-05-21,2.41,2.43,2.4,2.41,2.340362,25015600
20-05-21,2.41,2.45,2.41,2.42,2.350073,26778000
21-05-21,2.45,2.45,2.41,2.43,2.359784,20905600
24-05-21,2.45,2.47,2.43,2.44,2.369495,15669000
25-05-21,2.45,2.47,2.44,2.46,2.388917,26346100
27-05-21,2.41,2.47,2.38,2.45,2.379206,92400900
28-05-21,2.48,2.48,2.4,2.42,2.350073,44418673
31-05-21,2.42,2.43,2.4,2.41,2.340362,25084200
01-06-21,2.42,2.44,2.41,2.43,2.359784,34651600
02-06-21,2.43,2.43,2.4,2.4,2.330651,31958900
03-06-21,2.4,2.41,2.39,2.4,2.330651,24079200
04-06-21,2.39,2.4,2.38,2.38,2.311229,22467000
07-06-21,2.39,2.39,2.36,2.37,2.301518,42040400
08-06-21,2.37,2.38,2.35,2.37,2.301518,40378100
09-06-21,2.35,2.37,2.33,2.34,2.272385,56075700
10-06-21,2.34,2.36,2.33,2.33,2.262674,24620600
11-06-21,2.33,2.34,2.32,2.32,2.252963,45290000
14-06-21,2.32,2.34,2.31,2.33,2.262674,25792200
15-06-21,2.33,2.38,2.32,2.36,2.291807,38515300
16-06-21,2.36,2.37,2.31,2.31,2.243252,48024200
17-06-21,2.3,2.32,2.3,2.31,2.243252,25261300
18-06-21,2.3,2.33,2.3,2.31,2.243252,24822200
21-06-21,2.3,2.31,2.28,2.29,2.22383,39979700
22-06-21,2.3,2.32,2.29,2.3,2.233541,15631000
23-06-21,2.31,2.32,2.3,2.3,2.233541,13888700
24-06-21,2.3,2.34,2.29,2.31,2.243252,18669600
25-06-21,2.32,2.32,2.3,2.3,2.233541,17989100
28-06-21,2.31,2.33,2.3,2.31,2.243252,16588300
29-06-21,2.3,2.31,2.28,2.28,2.214118,38877200
30-06-21,2.29,2.31,2.28,2.29,2.22383,26128800
01-07-21,2.29,2.31,2.28,2.28,2.214118,21485900
02-07-21,2.28,2.28,2.26,2.27,2.204407,18505100
05-07-21,2.27,2.29,2.26,2.27,2.204407,20758700
06-07-21,2.27,2.31,2.27,2.3,2.233541,37068300
07-07-21,2.31,2.31,2.26,2.26,2.194696,39300000
08-07-21,2.26,2.27,2.24,2.25,2.184985,26996200
09-07-21,2.25,2.26,2.24,2.26,2.194696,19098200
12-07-21,2.28,2.29,2.27,2.28,2.214118,11503200
13-07-21,2.29,2.31,2.27,2.29,2.22383,20825600
14-07-21,2.29,2.31,2.28,2.29,2.22383,20706900
15-07-21,2.29,2.29,2.25,2.27,2.204407,22456200
16-07-21,2.28,2.29,2.26,2.27,2.204407,11173000
19-07-21,2.25,2.27,2.24,2.24,2.175274,24089000
21-07-21,2.26,2.27,2.22,2.23,2.165563,37086900
22-07-21,2.24,2.27,2.23,2.26,2.194696,21616000
23-07-21,2.25,2.26,2.24,2.25,2.184985,15783800
26-07-21,2.24,2.25,2.22,2.23,2.165563,13625600
27-07-21,2.24,2.25,2.22,2.23,2.165563,15455300
28-07-21,2.24,2.26,2.21,2.23,2.165563,36089300
29-07-21,2.25,2.29,2.23,2.28,2.214118,34729300
